                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.95554,                 1.0406,                 1.0491,                0.52718,                 0.4941,                0.46421,                0.32224,                   1.17,                 1.4418,                 1.1603,             0.00052787,             0.00052787,             0.00052787
                     77,                0.96459,                 1.0597,                 1.0457,                0.52912,                0.47313,                0.46419,                0.31927,                 1.1766,                 1.4624,                 1.1609,             0.00052375,             0.00052375,             0.00052375
                     78,                0.97048,                 1.0542,                 1.0568,                0.55294,                0.46605,                0.46321,                0.32244,                 1.1732,                 1.4553,                 1.1598,             0.00051963,             0.00051963,             0.00051963
                     79,                0.94797,                 1.0212,                   1.04,                0.51771,                0.49099,                0.47064,                0.32274,                 1.1688,                 1.4601,                 1.1605,              0.0005155,              0.0005155,              0.0005155
                     80,                0.94238,                 1.0379,                 1.0425,                0.53447,                0.46673,                0.45234,                0.31238,                 1.1724,                 1.4525,                 1.1666,             0.00051138,             0.00051138,             0.00051138
                     81,                0.96732,                 1.0316,                 1.0489,                0.52011,                0.49226,                0.46791,                0.32484,                 1.1652,                 1.4357,                 1.1602,             0.00050726,             0.00050726,             0.00050726
                     82,                0.93394,                 1.0084,                 1.0353,                0.52536,                0.47818,                0.46396,                   0.32,                 1.1655,                 1.4567,                 1.1627,             0.00050313,             0.00050313,             0.00050313
                     83,                0.93763,                 1.0063,                 1.0448,                0.52364,                0.46528,                0.46687,                0.32491,                 1.1759,                 1.4412,                 1.1674,             0.00049901,             0.00049901,             0.00049901
                     84,                0.92914,                 0.9875,                 1.0304,                0.55109,                0.47839,                 0.4729,                0.32817,                  1.157,                 1.4425,                 1.1533,             0.00049489,             0.00049489,             0.00049489
                     85,                0.92538,                0.98256,                 1.0327,                0.56748,                0.44205,                0.45377,                0.31609,                  1.165,                 1.4483,                  1.166,             0.00049076,             0.00049076,             0.00049076
                     86,                0.93627,                0.98973,                  1.033,                 0.5117,                0.48652,                0.46453,                0.32567,                 1.1613,                 1.4423,                 1.1621,             0.00048664,             0.00048664,             0.00048664
                     87,                0.92222,                0.98792,                 1.0352,                 0.5028,                0.49814,                0.45478,                0.31651,                 1.1561,                 1.4445,                 1.1589,             0.00048252,             0.00048252,             0.00048252
                     88,                0.92013,                 0.9667,                 1.0304,                0.51066,                0.49713,                0.47135,                0.33102,                 1.1635,                 1.4185,                 1.1711,             0.00047839,             0.00047839,             0.00047839
                     89,                0.91245,                0.94178,                 1.0159,                0.54787,                0.47082,                0.47087,                 0.3266,                 1.1726,                 1.4386,                 1.1696,             0.00047427,             0.00047427,             0.00047427
                     90,                0.90857,                0.95094,                 1.0308,                0.53581,                0.47397,                0.45976,                0.31889,                 1.1673,                 1.4249,                 1.1629,             0.00047015,             0.00047015,             0.00047015
                     91,                0.91774,                0.95553,                 1.0316,                0.52963,                0.48925,                0.46785,                0.32419,                 1.1647,                 1.4456,                 1.1634,             0.00046602,             0.00046602,             0.00046602
                     92,                 0.9041,                0.93446,                 1.0182,                 0.5508,                0.46615,                0.46751,                0.32824,                 1.1676,                 1.4352,                 1.1656,              0.0004619,              0.0004619,              0.0004619
                     93,                0.90027,                0.92342,                 1.0159,                0.55996,                0.46204,                0.47983,                0.33264,                 1.1757,                 1.4742,                 1.1776,             0.00045778,             0.00045778,             0.00045778
                     94,                0.89327,                0.90808,                 1.0175,                0.54723,                0.46855,                0.46754,                0.32392,                 1.1772,                 1.4525,                 1.1744,             0.00045365,             0.00045365,             0.00045365
                     95,                0.90741,                0.93356,                 1.0253,                0.56151,                0.45554,                0.46527,                0.32484,                 1.1677,                 1.4482,                  1.171,             0.00044953,             0.00044953,             0.00044953
